Business Name,Location,Post Code,Contact Name,Phone,Mobile,Fax
General Electrical Services Pty Ltd,,,,(02) 9787 6700,0414 699 858,(02) 9787 6722
Glenco Electrical / Building & Maintenance / Air Conditioning / Security & Alarms / CCTV,Sydney NSW 2000,2000,,(02) 9700 9996,,
Emco Electrical Services,Kogarah NSW 2217,2217, Emilio Antoniou,,0413 001 804,
ABC Electric Services p/l,"222 Henry Lawson DRV, Georges Hall NSW 2198",2198, Mal,1800 801 828,0408 600 950,
RLC ELECTRICAL & AIR CONDITIONING,,, Rick Aldover,,0414 655 990,
Sparks Plus,Chipping Norton NSW 2170,2170, Alexander Sedrak,0450 508 809,0450 508 809,
Glenn Ryan Electrical,Sydney NSW 2000,2000, Glenn Ryan,,0400 271 180,
ADB Electrical Services,Baulkham Hills NSW 2153,2153, Adam Beaver,,0416 942 021,
KLA GROUP PTY LTD,Sydney NSW 2000,2000, Chad Walsh,,0460 966 837,
Stallion Electronic Security Pty Ltd,"3/26 Wentworth AVE, MASCOT NSW 2020",2020, Howard Klevansky,1300 555 363,,
East Coast Contracting,,,,,0418 613 016,94010037
Nick Wright Electrical,Queenscliff NSW 2096,2096,,0418 165 617,,
CDE Electrical Pty Ltd,Bondi Junction NSW 2022,2022, Jacek Jason Robak,,0402 247 247,
Wehbe Electrical,Summer Hill NSW 2130,2130,,,0410 664 445,
RED1 Electrical Group,Guildford NSW 2161,2161, Radwan Ald,,0405 999 400,
AABAA Electrical Pty Ltd,Liverpool NSW 2170,2170, Maher Khabbaz,,0410 271 792,
Edyco Electrical,Sydney City NSW 2117,2117,,,0406 017 910,
Sirrom Electrical,Richmond NSW 2753,2753, Brad Morris,,0418 968 783,
Iservice Electrical group,PUNCHBOWL NSW 2196,2196, Adam Arja,0452 212 196,0452 212 196,
Mavec Contracting Pty Ltd,BRINGELLY NSW 2556,2556, Angelo Hatgiantounio,0419 202 786,,
Makgrid Electrical PTY LTD,BEXLEY NSW 2207,2207, Maks Makke,0422 739 224,0422 739 224,
Sine Electrical,ULTIMO NSW 2007,2007, Mick,0416 214 271,0416 214 271,
Emkays Electrical,Liverpool NSW 2170,2170, Emkay,0488 061 850,0488 061 850,
Take Charge Electrical,BEAUMONT HILLS NSW 2155,2155,,0402 501 545,0402 501 545,
Wattley Air and Electrical,GYMEA NSW 2227,2227,,0404 897 557,0404 897 557,
First Choice Electrical Group Pty Ltd,Mount Hunter NSW 2570,2570,,,0415 517 596,
The Electrical Power Co Pty Ltd,North Sydney NSW 2060,2060, Daniel Kent,0414 085 926,,
FRETOM,Taren Point NSW 2229,2229, Tommy O'Rourke,,0431 972 163,
OB Electrics Pty Ltd,COLLAROY PLATEAU NSW 2097,2097, Dean Brook,0412 496 282,0412 496 282,
Perfect power electrical services,NARRAWEENA NSW 2099,2099,,0401 274 743,0401 274 743,
DATA N POWER,CARLTON NSW 2218,2218, Bruno Costa,0434 289 478,0434 289 478,
Buildworth,Epping NSW 2121,2121,,(02) 9617 1072,(02) 9617 1072,
Husky Electrical,Leichhardht NSW 2040,2040,,,0404 552 522,
Quantum Electrical & Technologies,EARLWOOD NSW 2206,2206, Geovani Pereira Percurandi,0406 025 213,0406 025 213,
CMK ELECTRICAL & DATA,Balmain NSW 2168,2168, CRIS,1800 772 758,0434 287 660,
BERRYMAN ELECTRICAL,"6/65 St. Paul ST, Randwick NSW 2031",2031,,,0424 157 002,
Paton Power Pty Ltd,Turramurra NSW 2074,2074,,,0403 737 580,
Matco Electrical & Building Maintenance,,, Matt Connolly,,0409 326 641,(02) 9341 7566
Sydney Sparky,Redfern NSW 2016,2016, Ben Emerson,1300 777 275,,
Centric Electrical,Beaconsfield NSW 2015,2015,,,0432 332 333,
Wire me electrical,Roselands NSW 2196,2196, Mick Charara,0405 429 886,0405 429 886,
Propper Maintenance Pty Ltd,ALEXANDRIA NSW 2015,2015,,0406 965 082,0406 965 082,
Power Supply Group,ST MARYS NSW 2760,2760,,0400 623 487,0400 623 487,
Eforce Electrical,BRIGHTON LE SANDS NSW 2216,2216,,,0466 253 172,
KN Electrical Contractors,San Souci NSW 2219,2219, Kevin Harris,,0408 864 803,
SPARKS ELECTRICAL INSTALLATIONS,Sydney NSW, NSW,,,0450 564 958,
Welby Electric,BONDI NSW 2026,2026, Larson Wellard,0415 212 122,0415 212 122,
One Point Electrical Pty Ltd,Mosman NSW 2088,2088, James Harry,0411 100 021,0411 100 021,
V Gardener Electrical & Air Conditioning Service,ANNANDALE NSW 2038,2038, Vincent Gardener,,0490 861 252,
Enrico calabretto,NEWTOWN NSW 2042,2042, Enrico Calabretto,,,
Vision Electrical Solutions pty.ltd,,,,0401 672 670,0401 672 670,
LCI ELECTRICAL,BELLEVUE HILL NSW 2023,2023,,,0414 552 488,
BSW Electrical Pty Ltd,Mount Eliza VIC 3930,3930, Bruce Weiser,,0414 644 327,
S A Wilde Electrical,,, Steven Wilde,(03) 8390 2829,0431 832 430,
Sullivan Electrical Services Pty Ltd,Greensborough VIC 3088,3088, Michael Sullivan,0435 196 640,,
World Light Electrical Pty Ltd,Melbourne University VIC 3000,3000,,,0431 291 048,
Ridgemont Designs,,,,,0418 102 376,
CKI Electrics,Berrick VIC 3806,3806, Chris Irving,0402 283 898,0402 283 898,
Simoes Electrical,POINT COOK VIC 3030,3030,,0456 968 684,0456 968 684,
ELECOMM PTY LTD,"188 Macaulay RD, North Melbourne VIC 3051",3051, Adam Groso,,0466 232 569,
Universal Electrical & Data,LYNBROOK VIC 3975,3975,,,0401 494 834,
Renewable Projects,BURWOOD VIC 3125,3125,,1300 585 846,,
Schofield Electrical,Glen Waverley VIC 3150,3150, Michael Schofield,,0411 364 884,
AGGY ELECTRICAL PTY LTD,Langwarrin VIC 3910,3910,,,0405 024 036,
Richard Waters Electronics,"Shop 3/57a Buena Vista DRV, Montmorency VIC 3094",3094, Richard Waters,(03) 9439 8717,0409 319 385,(03) 9431 0758
Range Group Australia,Eltham VIC 3095,3095,,0430 046 540,0430 046 540,
Ahmads Plastering,Narrawarren VIC 3805,3805,,,0498 032 420,
