company,position
Australian Securities & Investments Comm,"INFRASTRUCTURE GENERAL MANAGER,
TECHNOLOGY"
Australian Securities & Investments Comm,"MANAGER, IT INFRASTRUCTURE DESIGN"
Australian Securities & Investments Comm,"TEAM LEAD, CYBER SECURITY ARCHITECTURE"
Australian Signals Directorate,UNDISCLOSED JOB TITLE
Australian Signals Directorate,CAPABILITY MANAGER
Australian Signals Directorate,UNDISCLOSED JOB TITLE
Australian Signals Directorate,"TECHNICAL DIRECTOR, INFRASTRUCTURE"
Australian Signals Directorate,UNDISCLOSED JOB TITLE
Australian Signals Directorate,UNDISCLOSED JOB TITLE
AUSTRALIAN SUPER,"SENIOR ASSOCIATE, IT STRATEGIC SOURCING"
AUSTRALIAN SUPER,HEAD OF INFRASTRUCTURE AND SERVICE MANAG
AUSTRALIAN SUPER,"PRINCIPAL, CLOUD AND PLATFORMS"
AUSTRALIAN SUPER,INFRASTRUCTURE ARCHITECT
AUSTRALIAN TAXATION OFFICE,CHIEF ARCHITECT DIGITAL IDENTITY
AUSTRALIAN TAXATION OFFICE,DATA ARCHITECT
AUSTRALIAN TAXATION OFFICE,ASSISTANT COMMISSIONER
AUSTRALIAN TAXATION OFFICE,DATA SCIENTIST
AUSTRALIAN TAXATION OFFICE,IT RISK CONFIGURATION ANALYST
AUSTRALIAN TAXATION OFFICE,DATA ENGINEER
AUSTRALIAN TAXATION OFFICE,DAES
AUSTRALIAN TAXATION OFFICE,DIRECTOR
AUSTRALIAN TAXATION OFFICE,DIRECTOR CLOUD SERVICES
AUSTRALIAN TAXATION OFFICE,UNDISCLOSED JOB TITLE
AUSTRALIAN TAXATION OFFICE499-CEBBS,AA
Australian Unity Group Service Pty Ltd,HEAD OF SERVICE DELIVERY & MONITORING
Australian-Super,UNDISCLOSED JOB TITLE
Aware Super,SOLUTION ARCHITECT
Aware Super,UNDISCLOSED JOB TITLE
BAE Systems Australia,SYSTEM ARCHITECT
Bank of Western Australia,PRINCIPAL ENTERPRISE ARCHITECT END USE
BECA,HEAD OF ICT OPERATIONS
BLANCCO AUSTRALASIA PTY LTD-GBS,"REGIONAL DIRECTOR, AUSTRALIA AND NZ"
BLUESCOPE STEEL LTD-MELBOURNE AUST,"IT PRODUCT OWNER, COMMON INFRASTRUCTURE"
BLUESCOPE STEEL LTD-MELBOURNE AUST,HEAD OF DATA AND ANALYTICS
BMW BRILLIANCE AUTOMOTIVE LTD - CHINA,UNDISCLOSED JOB TITLE
BMW BRILLIANCE AUTOMOTIVE LTD - CHINA,UNDISCLOSED JOB TITLE
BMW BRILLIANCE AUTOMOTIVE LTD - CHINA,UNDISCLOSED JOB TITLE
BOLTON CLARKE,IS LEAD - INFRASTRUCTURE OPERATIONS
BOLTON CLARKE,UNDISCLOSED JOB TITLE
BUNNINGS GROUP LIMITED,INFRASTRUCTURE SERVICES MANAGER
BUNNINGS GROUP LIMITED,INFRASTRUCTURE ARCHITECT
BUPA AUSTRALIA HEALTH,TECHNOLOGY HEAD OF INFRASTRUCTURE
BUPA AUSTRALIA HEALTH,WINTEL INFRASTRUCTURE MANAGER
BUPA AUSTRALIA HEALTH,INFRASTRUCTURE DESIGN MANAGER
BUPA AUSTRALIA HEALTH,NETWORK SERVICE MANAGER
BUPA AUSTRALIA HEALTH,UNDISCLOSED JOB TITLE
BUPA AUSTRALIA HEALTH,HEAD OF CLOUD GOVERNANCE AND OPERATIONS
BUPA AUSTRALIA HEALTH,UNDISCLOSED JOB TITLE
BUPA AUSTRALIA HEALTH,"MANAGER, NETWORK HOSTING"
CATHOLIC CHURCH INSURANCE - AUS,MANAGER IT OPERATIONS
CATHOLIC EDUCATION NETWORK,INFRASTRUCTURE MANAGER
CDS GLOBAL CLOUD,MANAGING DIRECTOR
CISCO SYSTEMS - AUSTRALIA,IT MANAGER
Citrix- Australia,DIRECTOR INFRASTRUCTURE AND OPERATIONS
CITY OF SYDNEY,INFRASTRUCTURE ARCHITECT
City West Water,CHIEF INFORMATION SECURITY OFFICER
City West Water,UNDISCLOSED JOB TITLE
City West Water,UNDISCLOSED JOB TITLE
City West Water,UNDISCLOSED JOB TITLE
Civil Aviation Safety Authority,SENIOR MANAGER DIGITAL SOLUTIONS
Civil Service Commission,UNDISCLOSED JOB TITLE
Clevertronics,HEAD OF IT
COCHLEAR LIMITED,"GLOBAL VICE PRESIDENT, INFORMATION
TECHNOLOGY OPERATIONS"
COCHLEAR LIMITED,BUSINESS IMPROVEMENT ANALYST
COCHLEAR LIMITED,ARCHITECT
COLES SUPERMARKETS AUSTRALIA PTY LTD,HEAD OF TECH STRATEGY
COLES SUPERMARKETS AUSTRALIA PTY LTD,SENIOR SECURITY ENGINEER
COMCARE-GBS,UNDISCLOSED JOB TITLE
COMMONWEALTH BANK OF AUSTRALIA CISO,IT
COMMONWEALTH BANK OF AUSTRALIA CISO,UNDISCLOSED JOB TITLE
COMMONWEALTH BANK OF AUSTRALIA CISO,"SR. MANAGER, INNOVATION & AUTOMATION
ROBOTICS SOLUTIONS"
COMMONWEALTH BANK OF AUSTRALIA CISO,EM PLATFORM HOSTING MANAGER
COMMONWEALTH BANK OF AUSTRALIA CISO,EM SAP CORE BANKING
COMMONWEALTH BANK OF AUSTRALIA CISO,GENERAL MANAGER - TECHNOLOGY
COMMONWEALTH BANK OF AUSTRALIA CISO,UNDISCLOSED JOB TITLE
COMMONWEALTH BANK OF AUSTRALIA CISO,UNDISCLOSED JOB TITLE
